Number of Pupils,GCSE Pass Average %,% Rate of Absence
663,73.29274728,6.811111111
664,61.68659574,7.522222222
664,77.13211761,5.288888889
666,48.22427525,10.53333333
666,62.96489626,6.544444444
667,44.26623441,9.677777778
667,82.93690393,6.877777778
668,46.0964522,9.488888889
668,70.82269263,8.316666667
669,99.54727819,3.433333333
669,50.72722121,7.755555556
670,82.96949179,5.433333333
672,60.08508351,7.477777778
672,59.73640786,7.68
672,78.33913785,6.044444444
673,46.71820685,7.288888889
674,55.35693258,7.966666667
674,65.82619908,6.475
675,78.9048714,6.244444444
677,65.73291773,6.044444444
678,77.99925831,6.655555556
678,82.8235232,5.377777778
679,71.24558114,7.166666667
679,56.61987899,7.255555556
680,68.20344357,6.933333333
680,77.9977517,5.944444444
681,73.66975636,6.4
681,57.94892007,9.371428571
681,65.1220404,8.477777778
682,59.0931992,8.866666667
682,51.85940301,10.04444444
682,56.60028277,9.742857143
683,59.67386584,7.988888889
684,60.29468975,7.433333333
685,69.77747242,7.088888889
687,66.62336261,7.7
688,75.8128323,6.911111111
688,43.28156491,10.78888889
688,61.24390514,6.111111111
689,61.65453912,6.725
689,59.12410229,7.555555556
691,80.83963826,6.816666667
691,70.60766336,6.944444444
691,55.35510468,8.775
692,64.44112841,7.111111111
692,69.90027232,7.277777778
693,78.01726682,6.055555556
694,57.09051167,8.588888889
694,88.79971485,6.077777778
697,75.54962224,6.711111111
698,61.80852068,7.511111111
699,84.0903868,5.344444444
701,73.15145841,9.5
704,50.37686262,7.933333333
705,56.10218325,9.7
706,81.83256069,6.122222222
707,79.75481324,6.122222222
709,61.45554299,7.166666667
709,80.17297458,5.144444444
711,60.72609482,6.7
715,78.71835894,7.266666667
715,69.58810623,6.611111111
715,63.73127804,7.588888889
717,72.88752536,7.583333333
717,55.30453509,7.455555556
718,70.01270584,6.077777778
719,79.99497208,5.422222222
722,77.43740674,5.911111111
722,69.11654789,6.422222222
723,52.91746811,8.9
723,55.14700108,8.866666667
724,71.62362497,8.125
726,64.09842156,7.955555556
727,62.00836886,7.0375
728,75.76062246,6.877777778
728,84.03740439,5.75
729,68.17150473,7.455555556
729,74.88380083,6.766666667
730,51.7875595,8.8
730,74.21447604,7.055555556
731,69.39393707,7.655555556
731,69.80640094,6.722222222
732,70.91759434,6.7125
732,66.26536999,7.775
733,58.57910595,8.8375
733,53.90614901,9.2
734,60.88061843,7.1
734,66.98809449,7.455555556
736,72.08278713,7
736,52.75898013,7.222222222
736,92.5890106,2.377777778
737,68.69742883,8
737,71.4769143,5.888888889
737,78.44840529,5.3
738,53.86470735,12.74444444
738,79.73492539,5.22
739,70.04154198,7.066666667
739,74.32855446,6.077777778
739,80.51997738,5.7125
739,49.61969109,10.25555556
739,69.50839523,6.866666667
739,56.86375562,6.777777778
741,68.62760524,7.577777778
741,55.07463638,9.325
742,81.18633932,5.422222222
742,87.62698752,5.111111111
743,66.04499516,7.388888889
743,76.92579619,6.5
743,60.1389932,7.333333333
744,65.87379201,7.277777778
744,69.49104627,6.788888889
744,47.22449597,12.71666667
745,63.45177998,8.477777778
745,60.48651624,9.888888889
745,56.52719989,8.111111111
746,62.8647372,6.722222222
746,65.75430024,7.975
747,74.41039205,6.755555556
748,61.04722598,8.92
748,86.73959157,5.922222222
749,86.97897459,5.3
749,90.5511052,5.277777778
749,71.48721236,5.955555556
752,85.60495247,4.55
753,65.07917153,6.311111111
753,64.40635418,6.844444444
754,64.59961092,8.388888889
756,98.80611789,5.277777778
756,71.51434609,7.388888889
757,64.0899956,7.922222222
757,74.39767446,7.866666667
757,60.03540711,7.233333333
758,65.38414139,7.522222222
760,60.4910358,8.042857143
760,62.81109088,9.355555556
760,70.46741435,6.122222222
760,48.23741714,9.722222222
761,72.08683413,5.444444444
762,56.55284956,7.355555556
762,57.61792915,8.155555556
762,68.88463112,6.411111111
763,80.86642688,5.933333333
763,68.69086896,7.2
765,71.49990948,6.244444444
766,72.61328347,7.68
766,63.89610159,6.7
767,57.74055223,9.177777778
767,64.58431348,7.133333333
767,48.98590397,9.488888889
767,71.37846754,8.66
769,72.93202443,7.4
769,58.33549994,8.085714286
769,83.04529457,5.2
770,68.43595614,6.3
770,74.47813553,9
770,48.40628296,10.05
770,70.64330165,8.322222222
770,38.82348185,9.833333333
770,87.66830722,5.022222222
771,76.91124189,7.14
771,72.46269766,7.716666667
772,59.05858479,10.35555556
772,89.51609502,5.622222222
773,73.75009252,5.022222222
775,54.75915728,8.46
777,81.46222985,6.666666667
777,56.35858552,6.3
778,91.36519446,7.177777778
778,79.9358417,5.111111111
778,70.42530097,6.344444444
778,55.40746952,6.422222222
779,53.35921939,9.633333333
780,60.82614969,7.9
780,67.77517901,7.45
780,89.07342592,4.877777778
780,48.24776814,12.53333333
781,69.60521383,7.944444444
781,81.29497527,6.188888889
781,48.80417872,9.255555556
782,72.22407953,6.98
783,69.04640846,6.466666667
783,56.05791184,7.377777778
783,73.49340185,7.066666667
783,73.2626399,6.422222222
784,72.21736188,6.211111111
784,70.52999709,5.788888889
785,68.27384355,7.816666667
785,60.57864621,6.188888889
786,56.11379217,7.288888889
788,71.72839672,6.422222222
788,71.01053812,6.025
788,79.28469152,6.033333333
788,99.48674211,4.5
789,53.83326767,9.285714286
789,66.43998162,7.328571429
790,58.27691927,8.888888889
790,54.67113653,8.388888889
790,47.7281794,6.777777778
791,47.16175726,8.288888889
791,54.89218788,9.444444444
791,53.74118847,11.55
792,68.58381544,7.8
792,82.15949669,5.011111111
792,64.05143603,6.483333333
792,69.39143572,7.85
793,60.795139,7.644444444
794,64.21904758,6.177777778
794,59.72216799,7.322222222
794,70.69598927,8.64
794,43.0530543,11.13333333
794,68.15064728,7.233333333
795,70.50641855,7.944444444
795,75.68810152,6.455555556
795,76.02107641,8.857142857
795,56.148248,6.822222222
795,59.25848707,7.111111111
797,61.27024641,8.044444444
798,62.52831817,7.16
799,98.95947669,5.033333333
799,56.16676867,8.811111111
800,57.31108294,7.411111111
800,52.23320289,8
800,87.79590253,4.844444444
800,74.0759761,6.555555556
801,77.1035525,6.088888889
801,74.91323981,8.1
802,86.09640471,5.122222222
803,77.60294765,5.5
803,66.87036283,7.022222222
803,54.20317232,6.277777778
804,67.04714159,5.822222222
804,65.74018675,6.166666667
805,62.07199827,6.783333333
806,77.09578969,6.844444444
806,67.06044766,6.9
807,59.7775,5.822222222
807,99.89212513,4.466666667
807,75.16203223,5.066666667
808,78.30360972,8.02
808,53.34469905,9.833333333
808,68.26458401,7.7
808,58.84822568,8.222222222
808,69.63150694,7.6
808,90.02226301,2.933333333
808,85.85158657,4.777777778
809,84.4517832,5.844444444
809,70.78700042,5.011111111
810,52.13139289,8.5
811,55.37801413,7.233333333
811,73.98841402,5.744444444
812,71.80781213,6.922222222
812,47.97659143,9.722222222
812,58.36109681,6.733333333
812,64.0079435,5.644444444
813,65.76523542,8.92
813,51.90884455,11.02222222
813,62.62434992,5.5125
816,53.66946288,8.733333333
816,59.98701847,7.488888889
816,97.05000465,5.122222222
817,63.21635328,8.466666667
817,65.29821399,5.933333333
817,76.33882265,7.133333333
818,99.32238537,5.411111111
819,70.61669944,6.388888889
819,68.24598045,6.733333333
819,42.48648023,10.41111111
819,69.4478401,6.6
820,60.8356646,8.922222222
820,65.61662936,7.888888889
820,71.1451737,7.122222222
820,68.89736649,5.444444444
820,50.76039445,7.644444444
821,64.49611426,7.333333333
821,66.41601109,6.866666667
823,88.42407919,5.45
823,86.56845437,5.455555556
823,60.35022852,5.977777778
824,81.47449778,5.333333333
824,58.15340794,8
825,53.34507652,10.2
826,64.62357156,8.055555556
