Ofsted Average,Number of Pupils,% Rate of Absence,% FSM,GCSE Pass Average %
2.333333333,858,7.877777778,22.42727273,59.24778787
2.666666667,726,7.955555556,16.20909091,64.09842156
1.666666667,1514,5.333333333,19.01818182,57.21547394
2.666666667,993,6.533333333,10.03636364,70.37173164
1.666666667,1627,5.122222222,5.654545455,86.82877849
2.5,1094,6,9.190909091,77.24760891
2,1133,5.111111111,4.754545455,85.60852438
2.75,1099,7.111111111,16.89090909,73.65217857
2.25,692,7.111111111,16.39090909,64.44112841
2,1805,6.388888889,6.072727273,86.80174684
2.5,1014,6.144444444,7.4,75.84309506
2.666666667,553,7.533333333,14.33636364,62.31478606
2,1332,6.144444444,8.163636364,82.2002505
2.333333333,912,6.511111111,17.73636364,68.72311913
2.333333333,468,7.511111111,12.26363636,75.10255963
2,998,6.155555556,16.56363636,72.79813115
2.8,987,6.622222222,21.49090909,62.17040323
2.333333333,1329,5.744444444,5.845454545,81.20148227
2,1644,6.111111111,5.481818182,83.64744587
2,1268,6.033333333,11.9,76.39718423
2,1005,6.1,10.26363636,81.00782668
2.333333333,746,6.722222222,22.38181818,62.8647372
2,1489,7.233333333,19.47272727,61.56118522
3,1010,6.677777778,14.30909091,64.33555253
2,1029,6.1,8.981818182,72.55501793
2,1120,8.822222222,36.85454545,52.36641532
2,2015,6.833333333,17.16363636,70.06693702
2.75,901,10.03333333,36.50909091,43.61238085
2.5,856,6.688888889,12.27272727,70.99639326
1.5,1780,5.822222222,8.227272727,84.9081243
1.5,1288,6.777777778,26.87272727,71.1503825
2,988,10.67777778,35.05454545,44.44692525
2.5,758,7.522222222,18.88181818,65.38414139
2,891,4.633333333,5.554545455,86.77402257
1.5,940,6.1,6.645454545,83.70925636
2.5,525,6.488888889,19.97272727,63.63711181
1.5,1150,4.866666667,21.00909091,80.73000774
2.5,912,7.233333333,12.73636364,71.93149464
1.5,1026,4.744444444,11.55454545,82.51470136
2.8,449,7.377777778,13.54545455,64.82902265
2,522,7.7,18.50909091,62.74332758
2,529,6.166666667,11.72727273,75.0091975
2.5,1091,6.888888889,7.154545455,77.60185811
1.5,749,5.277777778,6.163636364,90.5511052
2,1050,5.977777778,9.545454545,78.85716952
2,1242,6.033333333,10.47272727,70.64748517
2.5,601,7.855555556,19.60909091,64.42679502
2.75,1315,7.244444444,17.32727273,64.51216889
2,1490,5.822222222,9.590909091,75.42852738
2.5,1410,7.344444444,21.41818182,58.94571751
2.333333333,947,7.766666667,25.92727273,59.46619413
2.5,756,7.388888889,13.65454545,71.51434609
1.5,1260,4.022222222,2.9,91.66658067
2.333333333,1535,6.544444444,5.972727273,77.20580544
2,827,5.755555556,8.609090909,80.80003406
2.5,728,6.877777778,12.18181818,75.76062246
2.5,731,7.655555556,27.44545455,69.39393707
2.75,626,6.433333333,12.5,72.29603697
2,1257,6.566666667,15.47272727,70.5945337
2.75,1047,7.355555556,21.30909091,69.11605988
2.25,1333,6.466666667,17.5,65.22685301
2,1024,7.088888889,19.35454545,66.62426948
2,952,8.511111111,33.53636364,61.62194969
2.5,877,5.788888889,11.09090909,78.66937624
2,855,6.466666667,14.29090909,66.65584625
2,1302,7.122222222,22.42727273,66.71265552
1,1095,5.055555556,1.772727273,99.77006435
2,1799,5.411111111,3.345454545,99.29180274
1,872,5.5,7.709090909,97.17987134
1.5,1415,5.322222222,2.927272727,99.40210856
1,1274,5.455555556,4.154545455,99.05543445
2,1256,5.488888889,3.945454545,99.16652931
1,1499,5.633333333,1.636363636,100
2,955,8.344444444,26.5,58.53839227
1,1211,5.811111111,3.036363636,98.90168137
2.25,1046,6.644444444,17.77272727,53.24497068
2.5,791,9.444444444,21.53636364,54.89218788
2.333333333,1105,6.755555556,23.73636364,60.50327805
2,1616,5.7,18.24545455,52.35987312
2,963,6.533333333,18.93636364,59.84919198
2.5,899,5.1,8.590909091,96.68821562
2.5,1322,6.522222222,15.49090909,62.5048886
2,868,6.266666667,25.97272727,64.48537564
2,873,5.866666667,17.25454545,73.90931071
2.333333333,1410,5.4,8.727272727,70.95031819
2,902,6.8,13.78181818,71.22195285
2.5,651,5.777777778,16.28181818,71.52527753
1,926,4.477777778,6.363636364,88.54866519
1.333333333,800,4.844444444,9.481818182,87.79590253
2,1552,5.533333333,12.76363636,72.92583911
2.75,1005,9.122222222,40.98181818,54.18641197
2,603,6.955555556,34.05454545,60.514627
2.75,793,7.644444444,36.15454545,60.795139
