cluster 1,cluster 2,without special schools
65.91260941,70.37173164,73.27542806
65.92738412,70.37987335,73.29274728
65.97290186,70.45400821,73.34999168
65.98576649,70.46741435,73.39714277
65.98989061,70.52999709,73.45813953
66.01244589,70.54765822,73.49340185
66.02110542,70.57812079,73.50733586
66.0391562,70.5945337,73.57473791
66.04499516,70.60107144,73.62036559
66.07854251,70.61669944,73.65217857
66.10255552,70.64330165,73.67958519
66.13984836,70.64748517,73.87924608
66.14782462,70.71373891,73.90931071
66.19880954,70.92694888,73.95062742
66.23836222,70.95031819,74.06968183
66.26536999,70.9554688,74.08720748
66.26900615,70.97110421,74.29285823
66.30662053,70.97907488,74.31378561
66.3076321,70.99639326,74.38899178
66.36919824,71.01258938,74.41039205
66.37550443,71.01984224,74.42855412
66.41135656,71.0231214,74.48356407
66.43998162,71.06020691,74.51689568
66.47478464,71.10673727,74.52407402
66.54820341,71.11810313,74.58226814
66.55307569,71.1503825,74.58737286
66.62336261,71.20153637,74.60321272
66.633322,71.21283495,74.64257877
66.66025021,71.22195285,74.66124596
66.66311415,71.24558114,74.68522592
66.66436534,71.26661916,74.71641136
66.68198505,71.46179523,74.79191626
66.68339817,71.4769143,74.85664727
66.70652376,71.48721236,74.88380083
66.73949747,71.4905661,74.93735735
66.75703511,71.49990948,74.95055397
66.76622676,71.51434609,75.0091975
66.76641609,71.51588204,75.10255963
66.77814404,71.52527753,75.12427359
66.78522629,71.61832026,75.18145643
66.87622815,71.68216775,75.22006403
66.88800371,71.76488794,75.23468755
66.9075109,71.76614045,75.26983974
66.92854741,71.82263477,75.42852738
66.92858411,71.93149464,75.43439832
66.94471651,71.96925196,75.44008347
66.95343672,71.96936468,75.49615491
66.96077046,71.98741309,75.58642017
66.98809449,72.00470025,75.66159248
67.04714159,72.01791196,75.66675977
67.05400224,72.05159974,75.69184996
67.072932,72.08885249,75.72559394
67.0816689,72.14314614,75.75039096
67.08695051,72.20505674,75.76062246
67.12137455,72.21400537,75.76581
67.1259944,72.25909124,75.8095947
67.12609023,72.26133235,75.83395745
67.14685622,72.29603697,75.84309506
67.16154121,72.33985707,75.88786706
67.17537168,72.354047,75.89952517
67.20292977,72.38777725,75.98964013
67.20694609,72.39761646,76.09986133
67.23415987,72.44258186,76.10240103
67.27851589,72.45348512,76.26758123
67.36277512,72.47649869,76.31881615
67.37741957,72.50318825,76.33674469
67.40877701,72.54255973,76.33882265
67.44497691,72.55501793,76.35679873
67.50845169,72.56541593,76.3758223
67.51818377,72.63337975,76.39540127
67.56403865,72.71057916,76.39718423
67.60180299,72.79813115,76.40494801
67.60570805,72.8012954,76.44765172
67.6626193,72.83230608,76.47927909
67.73103534,72.92583911,76.50127348
